filename_adv,type_adv,RA_center_adv,DEC_center_adv,sig_adv,Nr_adv,RA_adv,DEC_adv,Roll_adv,base_name,attack,level,filename_gen,type_gen,RA_center_gen,DEC_center_gen,sig_gen,Nr_gen,RA_gen,DEC_gen,Roll_gen,RA_error,DEC_error,Roll_error
20090826_032901_s4h1A__tiny_noise__very_subtle.fts,adversarial,,,,,,,,20090826_032901_s4h1A.fts,tiny_noise,very_subtle,20090826_032901_s4h1A.fts,genuine,,,,,,,,,,
20090826_040901_s4h1A__tiny_noise__very_subtle.fts,adversarial,,,,,,,,20090826_040901_s4h1A.fts,tiny_noise,very_subtle,20090826_040901_s4h1A.fts,genuine,220.0,-15.0,0.0010829,16.0,223.3894,-16.4969,164.2438,,,
20090826_052901_s4h1A__tiny_noise__very_subtle.fts,adversarial,,,,,,,,20090826_052901_s4h1A.fts,tiny_noise,very_subtle,20090826_052901_s4h1A.fts,genuine,220.0,-15.0,0.00099921,16.0,223.4468,-16.5151,164.2489,,,
20090826_072901_s4h1A__tiny_noise__very_subtle.fts,adversarial,,,,,,,,20090826_072901_s4h1A.fts,tiny_noise,very_subtle,20090826_072901_s4h1A.fts,genuine,220.0,-15.0,0.00053764,14.0,223.5338,-16.5389,164.2757,,,
20090826_080901_s4h1A__tiny_noise__very_subtle.fts,adversarial,,,,,,,,20090826_080901_s4h1A.fts,tiny_noise,very_subtle,20090826_080901_s4h1A.fts,genuine,,,,,,,,,,
20090826_084901_s4h1A__tiny_noise__very_subtle.fts,adversarial,,,,,,,,20090826_084901_s4h1A.fts,tiny_noise,very_subtle,20090826_084901_s4h1A.fts,genuine,220.0,-15.0,0.00043302,14.0,223.5931,-16.5548,164.3011,,,
20090826_100901_s4h1A__tiny_noise__very_subtle.fts,adversarial,,,,,,,,20090826_100901_s4h1A.fts,tiny_noise,very_subtle,20090826_100901_s4h1A.fts,genuine,220.0,-15.0,0.00044239,14.0,223.6513,-16.5703,164.3256,,,
20090826_104901_s4h1A__tiny_noise__very_subtle.fts,adversarial,,,,,,,,20090826_104901_s4h1A.fts,tiny_noise,very_subtle,20090826_104901_s4h1A.fts,genuine,220.0,-15.0,0.00041907,14.0,223.6779,-16.5728,164.3365,,,
20090826_112901_s4h1A__tiny_noise__very_subtle.fts,adversarial,,,,,,,,20090826_112901_s4h1A.fts,tiny_noise,very_subtle,20090826_112901_s4h1A.fts,genuine,220.0,-15.0,0.00065525,14.0,223.7105,-16.5876,164.3362,,,
20090826_160901_s4h1A__tiny_noise__very_subtle.fts,adversarial,,,,,,,,20090826_160901_s4h1A.fts,tiny_noise,very_subtle,20090826_160901_s4h1A.fts,genuine,220.0,-15.0,0.00079309,14.0,223.9137,-16.6459,164.3917,,,
20090826_172901_s4h1A__tiny_noise__very_subtle.fts,adversarial,,,,,,,,20090826_172901_s4h1A.fts,tiny_noise,very_subtle,20090826_172901_s4h1A.fts,genuine,220.0,-15.0,0.00014092,8.0,223.9714,-16.6618,164.4104,,,
20090826_180901_s4h1A__tiny_noise__very_subtle.fts,adversarial,,,,,,,,20090826_180901_s4h1A.fts,tiny_noise,very_subtle,20090826_180901_s4h1A.fts,genuine,220.0,-15.0,0.00017765,9.0,224.0002,-16.67,164.4142,,,
